time,confA,confB,confC,confD,signDesk,poster,wc1,wc2,wc3,room1,room2,room3,room4,room5,room6,exhibition,mainMeeting,serviceRoom,restaurant,relaxRoom,escalator,importExport,firstAisle,secondAisle
16:20:00,3,2,2,1,19,162,88,20,24,0,235,1,22,71,0,304,0,3,0,1080,45,1831,400,70
16:30:00,5,2,2,1,19,77,26,13,8,5,237,0,17,63,0,340,0,3,0,1377,20,1831,236,101
16:40:00,299,71,179,86,19,19,0,0,1,837,9,0,1,10,0,24,0,3,0,62,182,1831,372,378
16:50:00,512,200,358,173,19,20,25,5,4,1014,48,0,2,10,0,24,0,3,0,49,7,1831,75,4
17:00:00,567,319,501,220,19,52,56,16,11,391,84,1,6,10,0,27,0,3,0,86,11,1852,140,11
17:10:00,586,348,533,235,25,36,25,15,6,144,87,0,13,10,0,46,0,3,0,234,16,1886,119,26
17:20:00,528,290,478,223,28,59,59,6,4,4,91,0,16,10,0,34,0,5,0,0,4,2401,165,8
17:30:00,3,3,2,2,15,62,53,17,11,0,193,0,22,5,0,33,0,6,0,0,12,3381,587,23
17:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,354,0,1,4065,9,0
17:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,354,0,0,4070,9,0
