data,confA,confB,confC,confD,signDesk,poster,wc1,wc2,wc3,room1,room2,room3,room4,room5,room6,exhibition,mainMeeting,serviceRoom,restaurant,relaxRoom,escalator,importExport,firstAisle,secondAisle
10:45:0,0,0,0,0,22,146,30,372,44,0,39,328,19,121,0,464,10,11,0,181,17,1,1026,83
10:50:0,0,0,0,0,25,160,21,209,18,0,52,10,17,149,0,753,10,18,0,287,39,1,1032,114
10:55:0,0,0,0,0,27,15,12,16,9,0,20,7,2,160,0,434,600,11,0,17,156,5,1392,41
11:0:0,0,0,0,0,21,8,9,0,2,0,10,0,2,174,1,106,1370,6,0,14,11,20,1156,13
11:5:0,0,0,0,0,19,4,0,8,0,0,7,0,2,176,7,63,2154,3,0,14,2,51,390,9
11:10:0,0,0,0,0,23,4,0,0,0,0,7,0,2,176,7,55,2508,3,0,13,3,35,23,5
11:15:0,0,0,0,0,24,1,0,4,0,0,8,0,2,176,8,48,2513,5,0,15,2,1,22,4
11:20:0,0,0,0,0,24,3,1,2,0,0,8,0,2,176,8,44,2517,4,0,17,2,0,24,4
11:25:0,0,0,0,0,24,5,1,0,1,0,8,0,2,176,8,41,2517,4,0,19,2,0,27,4
11:30:0,0,0,0,0,25,5,0,7,1,0,9,0,2,176,9,38,2499,4,0,20,2,4,39,7
11:35:0,0,0,0,0,25,10,4,68,3,0,11,0,7,176,9,65,2256,6,0,29,8,13,149,13
11:40:0,0,0,0,0,17,16,26,128,22,0,18,1,8,176,12,80,2022,4,0,33,16,43,187,34
11:45:0,0,0,0,0,12,21,9,10,14,0,19,0,7,175,46,58,2264,2,0,33,8,17,87,20
11:50:0,0,0,0,0,11,20,1,0,2,0,16,0,8,175,53,55,2345,2,0,36,0,3,49,9
11:55:0,0,0,0,0,10,11,0,1,1,0,26,0,9,175,53,52,2357,2,0,40,1,0,37,7
12:0:0,0,0,0,0,10,6,1,0,1,0,29,0,9,175,53,51,2362,2,0,43,2,1,26,11
12:5:0,0,0,0,0,10,0,0,1,0,0,0,0,1,3,53,5,2360,2,327,3,0,0,13,3
12:10:0,0,0,0,0,7,0,1,0,12,0,0,0,1,5,53,6,2288,4,322,3,16,3,40,20
12:15:0,0,0,0,0,4,2,4,6,52,0,1,0,1,25,33,13,1939,6,321,18,33,87,170,63
12:20:0,0,0,0,0,4,3,9,23,36,0,13,0,5,68,33,25,1094,9,431,41,120,145,496,136
12:25:0,0,0,0,0,6,5,7,22,32,0,17,0,6,113,33,20,358,8,824,69,153,170,545,158
12:30:0,0,0,0,0,7,7,4,11,36,0,31,0,8,143,32,27,0,2,1162,111,199,135,264,197
12:35:0,0,0,0,0,106,15,7,14,62,0,49,0,8,161,32,27,4,1,1503,171,24,38,69,56
12:40:0,0,0,0,0,121,40,28,19,121,0,63,5,9,169,28,35,5,1,1116,305,24,43,183,111
12:45:0,0,0,0,0,136,89,43,46,178,0,103,3,13,173,11,57,5,3,676,496,23,47,252,157
12:50:0,0,0,0,0,146,131,48,39,168,0,148,0,16,174,11,91,0,5,365,691,25,39,365,138
12:55:0,0,0,0,0,145,188,58,51,95,0,172,2,16,175,13,132,0,5,208,874,16,47,397,95
13:0:0,0,0,0,0,131,201,37,36,58,0,192,3,19,177,10,194,0,6,132,1009,12,42,454,49
13:5:0,0,0,0,0,169,196,26,20,18,0,221,2,21,178,10,326,0,6,124,1062,13,42,396,41
13:10:0,0,0,0,0,49,168,22,10,7,0,244,1,23,178,10,482,0,4,124,1093,8,25,357,42
13:15:0,0,0,0,0,19,144,22,7,12,0,252,0,25,180,10,595,0,3,123,1094,10,14,270,42
13:20:0,0,0,0,0,19,116,9,10,21,0,257,1,24,180,9,684,0,6,123,1082,11,22,196,38
13:25:0,0,0,0,0,19,69,19,5,32,0,251,1,24,180,9,768,0,3,123,1037,15,14,163,54
13:30:0,0,0,0,0,20,44,13,9,26,0,255,0,24,180,8,847,1,3,127,983,12,14,156,54
13:35:0,0,0,0,0,69,39,13,13,39,0,252,1,24,180,8,909,0,4,124,920,14,14,152,47
13:40:0,0,0,0,0,86,52,17,15,45,0,254,1,24,180,6,961,0,6,123,820,24,13,169,70
13:45:0,0,0,0,0,68,60,20,20,73,0,253,1,25,180,6,1027,0,7,51,766,16,22,227,77
13:50:0,0,0,0,0,70,82,31,21,55,0,255,3,25,183,4,1063,0,6,43,687,17,22,276,94
13:55:0,2,2,2,1,91,101,24,30,62,0,256,2,25,180,2,1032,0,6,36,583,15,98,323,112
14:0:0,2,7,2,5,83,117,32,34,61,0,236,3,19,179,1,959,0,4,33,490,27,164,381,114
14:5:0,46,368,77,197,71,84,11,16,28,0,102,0,10,175,0,434,0,3,25,184,75,98,783,51
14:10:0,123,744,260,348,28,59,2,8,8,0,97,0,10,176,0,332,0,4,17,139,12,79,261,34
14:15:0,169,887,331,366,19,23,5,5,9,0,93,0,9,176,0,320,0,3,6,109,7,0,94,31
14:20:0,169,928,369,373,19,21,1,1,7,0,91,0,9,176,0,302,0,3,1,75,11,0,79,27
14:25:0,169,964,395,379,19,22,4,2,4,0,89,0,9,176,0,280,0,4,0,58,4,0,68,16
14:30:0,169,995,422,386,20,11,3,2,6,0,84,0,8,176,0,247,0,4,0,46,4,1,63,17
14:35:0,169,1026,439,391,34,14,4,5,6,0,75,0,8,176,0,220,0,4,0,38,6,1,52,13
14:40:0,169,1058,461,396,32,9,7,1,4,0,70,0,6,176,0,187,0,6,0,27,8,0,61,12
14:45:0,169,1087,471,401,32,13,5,5,2,0,67,0,7,176,0,162,0,4,0,21,9,1,56,14
14:50:0,168,1106,488,400,29,9,8,7,3,0,62,0,6,176,0,143,0,5,0,19,3,0,71,12
14:55:0,153,1119,501,403,28,10,12,0,5,0,61,0,6,176,0,142,0,3,0,15,2,0,73,14
15:0:0,90,1140,509,402,35,29,17,1,1,0,59,0,8,176,0,143,0,3,0,15,7,0,90,12
15:5:0,11,1166,511,402,29,30,11,5,3,244,31,0,5,71,0,71,0,3,0,7,5,0,137,7
15:10:0,2,1183,513,403,21,44,14,6,0,234,26,2,4,71,0,105,0,3,0,11,7,0,91,9
15:15:0,2,1213,509,402,19,49,119,14,15,0,31,0,4,71,0,113,0,3,0,20,8,0,141,16
15:20:0,110,1213,505,405,19,29,43,18,9,0,27,1,4,71,0,112,0,3,0,16,3,27,119,15
15:25:0,145,1203,498,404,19,14,9,5,5,0,23,0,7,71,0,108,0,3,0,16,5,60,113,14
15:30:0,166,1187,480,401,19,17,15,5,4,0,25,0,7,71,0,90,0,4,0,19,9,18,119,6
15:35:0,196,1162,469,393,19,20,21,15,5,0,25,0,6,71,0,121,0,4,0,24,4,2,82,5
15:40:0,211,853,293,327,19,105,175,14,11,0,31,0,9,71,0,128,0,6,0,29,13,1,326,20
15:45:0,284,627,214,294,19,173,144,52,48,0,46,0,12,71,0,129,0,4,0,57,19,1,420,27
15:50:0,363,448,131,252,19,218,159,51,48,0,72,0,14,71,0,131,0,5,0,122,16,0,485,35
15:55:0,431,275,54,186,19,239,187,38,43,0,100,1,16,71,0,135,0,5,0,208,27,13,555,37
16:0:0,468,136,25,127,19,238,194,44,34,0,129,0,18,71,0,140,0,4,0,345,33,22,538,42
16:5:0,445,65,9,84,19,207,175,53,33,0,151,0,19,70,0,162,0,4,0,508,26,31,483,61
16:10:0,386,28,5,28,19,214,131,35,28,0,193,0,21,70,0,202,0,6,0,699,27,22,417,43
16:15:0,131,9,4,9,19,218,137,30,24,0,215,1,21,70,0,241,0,5,0,895,41,0,424,58
16:20:0,3,2,2,1,19,162,88,20,24,0,235,1,22,71,0,304,0,3,0,1080,45,0,400,70
16:25:0,2,2,2,1,19,119,42,14,14,0,254,2,21,71,0,322,0,3,0,1282,31,0,288,63
16:30:0,5,2,2,1,19,77,26,13,8,5,237,0,17,63,0,340,0,3,0,1377,20,0,236,101
16:35:0,173,25,98,37,19,15,2,2,3,426,9,0,1,10,0,23,0,3,0,756,145,0,519,286
16:40:0,299,71,179,86,19,19,0,0,1,837,9,0,1,10,0,24,0,3,0,62,182,0,372,378
16:45:0,434,127,288,152,19,19,10,0,0,1136,16,0,2,10,0,22,0,3,0,48,2,0,260,4
16:50:0,512,200,358,173,19,20,25,5,4,1014,48,0,2,10,0,24,0,3,0,49,7,0,75,4
16:55:0,545,274,429,191,19,37,58,16,16,677,71,0,3,10,0,28,0,3,0,54,6,5,101,9
17:0:0,567,319,501,220,19,52,56,16,11,391,84,1,6,10,0,27,0,3,0,86,11,16,140,11
17:5:0,582,344,527,232,23,65,41,19,12,214,85,0,10,10,0,27,0,4,0,152,15,24,133,20
17:10:0,586,348,533,235,25,36,25,15,6,144,87,0,13,10,0,46,0,3,0,234,16,11,119,26
17:15:0,585,348,536,237,26,26,39,13,17,22,85,0,15,10,0,33,0,3,0,1,6,342,169,4
17:20:0,528,290,478,223,28,59,59,6,4,4,91,0,16,10,0,34,0,5,0,0,4,177,165,8
17:25:0,37,8,25,27,15,169,282,19,23,0,135,0,18,9,0,32,0,3,0,0,20,323,849,27
17:30:0,3,3,2,2,15,62,53,17,11,0,193,0,22,5,0,33,0,6,0,0,12,661,587,23
17:35:0,0,0,0,0,6,2,0,0,0,0,0,0,1,2,0,6,0,0,137,0,61,657,125,59
17:40:0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,354,0,1,31,9,0
17:45:0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,354,0,0,5,9,0
17:50:0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,354,0,0,0,9,0
17:55:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,2,7,0
18:0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,2,7,1
