data,confA,confB,confC,confD,signDesk,poster,wc1,wc2,wc3,room1,room2,room3,room4,room5,room6,exhibition,mainMeeting,serviceRoom,restaurant,relaxRoom,escalator,importExport,firstAisle,secondAisle
16:5:0,238,106,50,45,18,185,125,27,27,0,77,0,6,74,0,147,0,4,0,422,24,44,353,59
16:10:0,210,46,15,23,18,148,112,20,21,0,93,0,7,74,0,176,0,5,0,564,17,17,363,58
16:15:0,86,10,6,5,18,150,97,26,16,0,106,1,8,75,0,200,0,4,0,693,27,0,383,59
16:20:0,3,2,2,1,18,46,42,11,11,678,13,0,2,11,0,51,0,4,0,274,128,1,438,234
16:25:0,1,2,2,1,18,45,12,10,3,1217,17,0,2,11,0,56,0,4,0,216,7,2,322,21
16:30:0,6,2,2,2,18,112,93,3,6,536,54,0,2,11,0,60,0,4,0,314,65,1,620,56
16:35:0,126,103,106,216,18,79,100,22,11,0,34,2,3,11,1,49,0,4,0,299,210,1,456,115
16:40:0,248,212,211,401,18,33,10,15,22,0,32,0,3,11,0,56,0,6,0,474,15,28,141,29
16:45:0,267,259,260,446,18,19,3,3,4,0,32,0,3,11,0,53,0,5,0,453,2,23,65,11
16:50:0,269,272,268,451,17,14,1,4,0,0,31,0,3,11,0,51,0,4,0,443,3,10,51,11
16:55:0,272,276,268,455,17,10,3,2,1,0,31,0,3,11,0,53,0,4,0,438,4,4,43,9
17:0:0,273,280,272,459,17,6,0,1,0,0,32,0,3,11,0,56,0,4,0,435,4,0,38,9
17:5:0,273,284,274,460,17,4,0,2,5,0,32,0,3,11,0,59,0,4,0,425,3,0,31,13
17:10:0,274,285,277,465,17,2,4,3,8,0,30,0,3,11,0,60,0,4,0,398,7,0,31,21
17:15:0,269,285,272,451,17,4,7,1,3,0,0,0,0,11,0,52,0,4,0,0,123,256,118,27
17:20:0,242,231,227,360,19,33,50,4,4,0,0,0,0,11,0,41,0,4,0,0,6,293,117,4
17:25:0,33,11,8,33,11,88,155,12,19,0,0,0,0,8,0,30,0,5,0,0,15,359,546,21
17:30:0,4,4,3,3,4,52,24,11,9,0,0,0,0,6,0,22,1,4,0,0,6,648,173,23
17:35:0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,6,0,4,0,0,0,336,0,0
17:40:0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,0,0,0,4,1,0
17:45:0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,5,0,0
17:50:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0
17:55:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
18:0:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0
